Year,avg DR,min DR,max DR
1995,10,8,11
2000,6,4,9
1994,6,4,11
1994,8,6,12
2014,7,5,11
2000,9,8,10
1998,9,8,11
2000,6,4,9
1994,7,5,11
1995,5,3,10
2002,6,4,8
2014,13,11,15
1995,10,9,12
1995,10,7,12
2016,8,8,9
1994,11,10,12
1995,11,11,12
1994,11,10,12
2011,13,11,19
2003,10,9,12
1995,5,3,10
2016,7,4,12
2003,11,9,15
2000,6,5,7
1994,11,10,13
2005,5,4,8
1994,11,11,12
2004,7,5,11
2010,6,5,9
1995,5,3,10
1995,11,11,11
2009,8,7,10
2014,6,3,10
2008,5,5,6
1994,10,7,12
2014,6,3,10
2003,10,9,14
2003,10,9,13
1995,6,4,10
2003,6,4,10
2006,5,3,10
1995,5,3,10
1995,5,3,10
2014,7,6,11
2014,6,4,10
2014,9,9,10
2014,8,7,10
2006,5,4,5
2008,5,5,6
2005,5,5,6
2003,6,6,8
2002,6,5,7
2002,6,4,8
2002,9,7,10
2002,5,4,6
2002,5,5,6
1995,6,4,10
1994,7,6,11
2005,5,4,8
2002,6,4,8
2000,6,4,9
1997,5,4,6
2000,5,4,6
2001,11,11,13
2000,6,4,9
1997,5,4,5
1995,8,6,9
1994,11,9,12
1994,7,5,11
2014,7,7,8
2014,6,4,11
2014,9,8,11
2014,10,9,11
1995,11,11,12
1998,6,4,9
1994,4,4,4
1994,7,5,11
1994,6,4,9
1997,11,10,12
1994,6,5,7
2008,11,9,14
1995,9,8,11
2000,6,5,6
1994,10,7,12
2004,7,5,11
1997,10,8,11
1997,10,9,10
2008,8,7,9
2009,8,8,9
2009,8,7,10
2009,9,8,11
2009,9,8,10
2005,9,8,11
1996,13,9,14
2009,9,8,11
2009,9,8,10
2009,9,7,11
1994,7,5,12
2006,11,7,14
2005,7,5,10
